,ds,y
268,2020-09-30,143.0033264
269,2020-10-01,149.386673
270,2020-10-02,138.363327
271,2020-10-05,141.8933258
272,2020-10-06,137.9933319
273,2020-10-07,141.7666626
274,2020-10-08,141.9733276
275,2020-10-09,144.6666718
276,2020-10-12,147.4333344
277,2020-10-13,148.8833313
278,2020-10-14,153.7666626
279,2020-10-15,149.6266632
280,2020-10-16,146.5566711
281,2020-10-19,143.6100006
282,2020-10-20,140.6466675
283,2020-10-21,140.8800049
284,2020-10-22,141.9299927
285,2020-10-23,140.2100067
286,2020-10-26,140.093338
287,2020-10-27,141.5599976
288,2020-10-28,135.3399963
289,2020-10-29,136.9433289
290,2020-10-30,129.3466644
291,2020-11-02,133.5033264
292,2020-11-03,141.3000031
293,2020-11-04,140.3266602
294,2020-11-05,146.0299988
295,2020-11-06,143.3166656
296,2020-11-09,140.4199982
297,2020-11-10,136.7866669
298,2020-11-11,139.043335
299,2020-11-12,137.2533264
300,2020-11-13,136.1666718
301,2020-11-16,136.0299988
302,2020-11-17,147.2033386
303,2020-11-18,162.2133331
304,2020-11-19,166.4233398
305,2020-11-20,163.2033386
306,2020-11-23,173.9499969
307,2020-11-24,185.1266632
308,2020-11-25,191.3333282
309,2020-11-27,195.2533264
310,2020-11-30,189.1999969
311,2020-12-01,194.9199982
312,2020-12-02,189.6066742
313,2020-12-03,197.793335
314,2020-12-04,199.6799927
315,2020-12-07,213.9199982
316,2020-12-08,216.6266632
317,2020-12-09,201.4933319
318,2020-12-10,209.0233307
319,2020-12-11,203.3300018
320,2020-12-14,213.2766724
321,2020-12-15,211.0833282
322,2020-12-16,207.5899963
323,2020-12-17,218.6333313
324,2020-12-18,231.6666718
325,2020-12-21,216.6199951
326,2020-12-22,213.4466705
327,2020-12-23,215.3266602
328,2020-12-24,220.5899963
329,2020-12-28,221.2299957
330,2020-12-29,221.9966736
331,2020-12-30,231.593338
332,2020-12-31,235.2233276
333,2021-01-04,243.2566681
334,2021-01-05,245.0366669
335,2021-01-06,251.9933319
336,2021-01-07,272.0133362
337,2021-01-08,293.3399963
338,2021-01-11,270.3966675
339,2021-01-12,283.1466675
340,2021-01-13,284.8033447
341,2021-01-14,281.6666565
342,2021-01-15,275.3866577
343,2021-01-19,281.5166626
344,2021-01-20,283.4833374
345,2021-01-21,281.6633301
346,2021-01-22,282.2133179
347,2021-01-25,293.6000061
348,2021-01-26,294.3633423
349,2021-01-27,288.0533447
350,2021-01-28,278.4766541
351,2021-01-29,264.5100098
352,2021-02-01,279.936676
353,2021-02-02,290.9299927
354,2021-02-03,284.8966675
355,2021-02-04,283.3299866
356,2021-02-05,284.0766602
357,2021-02-08,287.8066711
358,2021-02-09,283.1533203
359,2021-02-10,268.2733459
360,2021-02-11,270.5533447
361,2021-02-12,272.0400085
362,2021-02-16,265.4066772
363,2021-02-17,266.0499878
364,2021-02-18,262.4599915
365,2021-02-19,260.4333191
366,2021-02-22,238.1666718
367,2021-02-23,232.9466705
368,2021-02-24,247.3399963
369,2021-02-25,227.406662
370,2021-02-26,225.1666718
371,2021-03-01,239.4766693
372,2021-03-02,228.8133392
373,2021-03-03,217.7333374
374,2021-03-04,207.1466675
375,2021-03-05,199.3166656
376,2021-03-08,187.6666718
377,2021-03-09,224.5266724
378,2021-03-10,222.6866608
379,2021-03-11,233.1999969
380,2021-03-12,231.2433319
381,2021-03-15,235.9799957
382,2021-03-16,225.6266632
383,2021-03-17,233.9366608
384,2021-03-18,217.7200012
385,2021-03-19,218.2899933
386,2021-03-22,223.3333282
387,2021-03-23,220.7200012
388,2021-03-24,210.0899963
389,2021-03-25,213.4633331
390,2021-03-26,206.2366638
391,2021-03-29,203.7633362
392,2021-03-30,211.8733368
393,2021-03-31,222.6433258
394,2021-04-01,220.5833282
395,2021-04-05,230.3500061
396,2021-04-06,230.5399933
397,2021-04-07,223.656662
398,2021-04-08,227.9333344
399,2021-04-09,225.6733398
400,2021-04-12,233.9933319
401,2021-04-13,254.1066742
402,2021-04-14,244.0766602
403,2021-04-15,246.2833405
404,2021-04-16,246.593338
405,2021-04-19,238.2100067
406,2021-04-20,239.6633301
407,2021-04-21,248.0399933
408,2021-04-22,239.8966675
409,2021-04-23,243.1333313
410,2021-04-26,246.0666656
411,2021-04-27,234.9133301
412,2021-04-28,231.4666595
413,2021-04-29,225.6666718
414,2021-04-30,236.4799957
415,2021-05-03,228.3000031
416,2021-05-04,224.5333405
417,2021-05-05,223.6466675
418,2021-05-06,221.1799927
419,2021-05-07,224.1233368
420,2021-05-10,209.6799927
421,2021-05-11,205.7333374
422,2021-05-12,196.6300049
423,2021-05-13,190.5633392
424,2021-05-14,196.5800018
425,2021-05-17,192.2766724
426,2021-05-18,192.6233368
427,2021-05-19,187.8200073
428,2021-05-20,195.593338
429,2021-05-21,193.6266632
430,2021-05-24,202.1466675
431,2021-05-25,201.5633392
432,2021-05-26,206.3766632
433,2021-05-27,210.2833405
434,2021-05-28,208.406662
435,2021-06-01,207.9666595
436,2021-06-02,201.706665
437,2021-06-03,190.9466705
438,2021-06-04,199.6833344
439,2021-06-07,201.7100067
440,2021-06-08,201.1966705
441,2021-06-09,199.593338
442,2021-06-10,203.3733368
443,2021-06-11,203.2966614
444,2021-06-14,205.8966675
445,2021-06-15,199.7866669
446,2021-06-16,201.6233368
447,2021-06-17,205.5333405
448,2021-06-18,207.7700043
449,2021-06-21,206.9433289
450,2021-06-22,207.9033356
451,2021-06-23,218.8566742
452,2021-06-24,226.6066742
453,2021-06-25,223.956665
454,2021-06-28,229.5733337
455,2021-06-29,226.9199982
456,2021-06-30,226.5666656
457,2021-07-01,225.9733276
458,2021-07-02,226.3000031
459,2021-07-06,219.8600006
460,2021-07-07,214.8833313
461,2021-07-08,217.6033325
462,2021-07-09,218.9833374
463,2021-07-12,228.5666656
464,2021-07-13,222.8466644
465,2021-07-14,217.793335
466,2021-07-15,216.8666687
467,2021-07-16,214.7400055
468,2021-07-19,215.406662
469,2021-07-20,220.1666718
470,2021-07-21,218.4299927
471,2021-07-22,216.4199982
472,2021-07-23,214.4600067
473,2021-07-26,219.206665
474,2021-07-27,214.9266663
475,2021-07-28,215.6600037
476,2021-07-29,225.7833405
477,2021-07-30,229.0666656
478,2021-08-02,236.5566711
479,2021-08-03,236.5800018
480,2021-08-04,236.9733276
481,2021-08-05,238.2100067
482,2021-08-06,233.0333405
483,2021-08-09,237.9199982
484,2021-08-10,236.6633301
485,2021-08-11,235.9400024
486,2021-08-12,240.75
487,2021-08-13,239.0566711
488,2021-08-16,228.7233276
489,2021-08-17,221.9033356
490,2021-08-18,229.6633301
491,2021-08-19,224.4900055
492,2021-08-20,226.7533264
493,2021-08-23,235.4333344
494,2021-08-24,236.1633301
495,2021-08-25,237.0666656
496,2021-08-26,233.7200012
497,2021-08-27,237.3066711
498,2021-08-30,243.636673
499,2021-08-31,245.2400055
500,2021-09-01,244.6966705
501,2021-09-02,244.1300049
