,0,1,2,3,4,5,6
59,301.8866577,297.0466614,307.7733459,302.4466553,307.3333435,310.6666565,301.5166626
60,297.0466614,307.7733459,302.4466553,307.3333435,310.6666565,301.5166626,286.6666565
61,307.7733459,302.4466553,307.3333435,310.6666565,301.5166626,286.6666565,291.9200134
62,302.4466553,307.3333435,310.6666565,301.5166626,286.6666565,291.9200134,307.4766541
63,307.3333435,310.6666565,301.5166626,286.6666565,291.9200134,307.4766541,307.7966614
64,310.6666565,301.5166626,286.6666565,291.9200134,307.4766541,307.7966614,292.1166687
65,301.5166626,286.6666565,291.9200134,307.4766541,307.7966614,292.1166687,285.6600037
66,286.6666565,291.9200134,307.4766541,307.7966614,292.1166687,285.6600037,273.8433228
67,291.9200134,307.4766541,307.7966614,292.1166687,285.6600037,273.8433228,254.6799927
68,307.4766541,307.7966614,292.1166687,285.6600037,273.8433228,254.6799927,266.9233398
69,307.7966614,292.1166687,285.6600037,273.8433228,254.6799927,266.9233398,269.956665
70,292.1166687,285.6600037,273.8433228,254.6799927,266.9233398,269.956665,290.1433411
71,285.6600037,273.8433228,254.6799927,266.9233398,269.956665,290.1433411,288.1233215
72,273.8433228,254.6799927,266.9233398,269.956665,290.1433411,288.1233215,293.2966614
73,254.6799927,266.9233398,269.956665,290.1433411,288.1233215,293.2966614,279.7633362
74,266.9233398,269.956665,290.1433411,288.1233215,293.2966614,279.7633362,279.4299927
75,269.956665,290.1433411,288.1233215,293.2966614,279.7633362,279.4299927,268.1933289
76,290.1433411,288.1233215,293.2966614,279.7633362,279.4299927,268.1933289,274.7999878
77,288.1233215,293.2966614,279.7633362,279.4299927,268.1933289,274.7999878,286.3233337
78,293.2966614,279.7633362,279.4299927,268.1933289,274.7999878,286.3233337,279.4333191
79,279.7633362,279.4299927,268.1933289,274.7999878,286.3233337,279.4333191,265.1166687
80,279.4299927,268.1933289,274.7999878,286.3233337,279.4333191,265.1166687,255.456665
81,268.1933289,274.7999878,286.3233337,279.4333191,265.1166687,255.456665,267.2966614
82,274.7999878,286.3233337,279.4333191,265.1166687,255.456665,267.2966614,280.0766602
83,286.3233337,279.4333191,265.1166687,255.456665,267.2966614,280.0766602,290.5333252
84,279.4333191,265.1166687,255.456665,267.2966614,280.0766602,290.5333252,301.7966614
85,265.1166687,255.456665,267.2966614,280.0766602,290.5333252,301.7966614,307.0533447
86,255.456665,267.2966614,280.0766602,290.5333252,301.7966614,307.0533447,331.3266602
87,267.2966614,280.0766602,290.5333252,301.7966614,307.0533447,331.3266602,333.0366821
88,280.0766602,290.5333252,301.7966614,307.0533447,331.3266602,333.0366821,337.9733276
89,290.5333252,301.7966614,307.0533447,331.3266602,333.0366821,337.9733276,336.8800049
90,301.7966614,307.0533447,331.3266602,333.0366821,337.9733276,336.8800049,363.9466553
91,307.0533447,331.3266602,333.0366821,337.9733276,336.8800049,363.9466553,366.5233459
92,331.3266602,333.0366821,337.9733276,336.8800049,363.9466553,366.5233459,364.6633301
93,333.0366821,337.9733276,336.8800049,363.9466553,366.5233459,364.6633301,359.2000122
94,337.9733276,336.8800049,363.9466553,366.5233459,364.6633301,359.2000122,361.5299988
95,336.8800049,363.9466553,366.5233459,364.6633301,359.2000122,361.5299988,381.8166809
96,363.9466553,366.5233459,364.6633301,359.2000122,361.5299988,381.8166809,363.7533264
97,366.5233459,364.6633301,359.2000122,361.5299988,381.8166809,363.7533264,348.5866699
98,364.6633301,359.2000122,361.5299988,381.8166809,363.7533264,348.5866699,352.4200134
99,359.2000122,361.5299988,381.8166809,363.7533264,348.5866699,352.4200134,341.8299866
100,361.5299988,381.8166809,363.7533264,348.5866699,352.4200134,341.8299866,325.3099976
101,381.8166809,363.7533264,348.5866699,352.4200134,341.8299866,325.3099976,328.9833374
102,363.7533264,348.5866699,352.4200134,341.8299866,325.3099976,328.9833374,340.7900085
103,348.5866699,352.4200134,341.8299866,325.3099976,328.9833374,340.7900085,328.3333435
104,352.4200134,341.8299866,325.3099976,328.9833374,340.7900085,328.3333435,334.7633362
105,341.8299866,325.3099976,328.9833374,340.7900085,328.3333435,334.7633362,342.7166748
106,325.3099976,328.9833374,340.7900085,328.3333435,334.7633362,342.7166748,325.7333374
107,328.9833374,340.7900085,328.3333435,334.7633362,342.7166748,325.7333374,336.2600098
108,340.7900085,328.3333435,334.7633362,342.7166748,325.7333374,336.2600098,335.0166626
109,328.3333435,334.7633362,342.7166748,325.7333374,336.2600098,335.0166626,332.6733398
110,334.7633362,342.7166748,325.7333374,336.2600098,335.0166626,332.6733398,292.1400146
111,342.7166748,325.7333374,336.2600098,335.0166626,332.6733398,292.1400146,293.8366699
112,325.7333374,336.2600098,335.0166626,332.6733398,292.1400146,293.8366699,292.5033264
113,336.2600098,335.0166626,332.6733398,292.1400146,293.8366699,292.5033264,290.2533264
114,335.0166626,332.6733398,292.1400146,293.8366699,292.5033264,290.2533264,300.980011
115,332.6733398,292.1400146,293.8366699,292.5033264,290.2533264,300.980011,303.0833435
116,292.1400146,293.8366699,292.5033264,290.2533264,300.980011,303.0833435,317.5400085
117,293.8366699,292.5033264,290.2533264,300.980011,303.0833435,317.5400085,291.0933228
118,292.5033264,290.2533264,300.980011,303.0833435,317.5400085,291.0933228,288.5499878
119,290.2533264,300.980011,303.0833435,317.5400085,291.0933228,288.5499878,262.3699951
120,300.980011,303.0833435,317.5400085,291.0933228,288.5499878,262.3699951,266.6799927
